ctr : 395  | I: 006a | Q: fee8
ctr : 396  | I: 0030 | Q: fed1
ctr : 397  | I: 000f | Q: fee1
ctr : 398  | I: 0002 | Q: fec6
ctr : 399  | I: fff3 | Q: fec4
ctr : 400  | I: ffdb | Q: febf
ctr : 401  | I: ffaf | Q: fee4
ctr : 402  | I: ff82 | Q: fee7
ctr : 403  | I: ff60 | Q: fedc
ctr : 404  | I: ff59 | Q: fefc
ctr : 405  | I: ff53 | Q: ff32
ctr : 406  | I: ff08 | Q: ff18
ctr : 407  | I: ff18 | Q: ff16
ctr : 408  | I: feef | Q: ff70
ctr : 409  | I: fece | Q: ff72
ctr : 410  | I: fed1 | Q: ff92
ctr : 411  | I: fed5 | Q: ff95
ctr : 412  | I: fed4 | Q: ffc5
ctr : 413  | I: feaa | Q: ffb7
ctr : 414  | I: 013e | Q: 000b
ctr : 415  | I: 012e | Q: ffea
ctr : 416  | I: 0127 | Q: ffd2
ctr : 417  | I: 013c | Q: ffb3
ctr : 418  | I: fedf | Q: 005a
ctr : 419  | I: fedf | Q: 0085
ctr : 420  | I: fef4 | Q: 0091
ctr : 421  | I: ff19 | Q: 00d6
ctr : 422  | I: ff0d | Q: 00c1
ctr : 423  | I: ff48 | Q: 00ee
ctr : 424  | I: ff3d | Q: 00ea
ctr : 425  | I: ff4a | Q: 0113
ctr : 426  | I: ff6d | Q: 011a
ctr : 427  | I: ffd0 | Q: 0150
ctr : 428  | I: ffda | Q: 0140
ctr : 429  | I: ffe9 | Q: 014b
ctr : 430  | I: ffe9 | Q: 0143
ctr : 431  | I: 001c | Q: 0117
ctr : 432  | I: 0065 | Q: 011d
ctr : 433  | I: 0064 | Q: 00fb
ctr : 434  | I: 0092 | Q: 010c
ctr : 435  | I: 00b7 | Q: 00ee
ctr : 436  | I: 00a8 | Q: 00eb
ctr : 437  | I: 00e2 | Q: 00e4
ctr : 438  | I: 00ea | Q: 00b8
ctr : 439  | I: 0106 | Q: 009c
ctr : 440  | I: 0101 | Q: 0084
ctr : 441  | I: 00e7 | Q: 0062
ctr : 442  | I: 0108 | Q: 0032
ctr : 443  | I: 0119 | Q: 003f
ctr : 444  | I: 0111 | Q: 0016
ctr : 445  | I: 012b | Q: ffe6
ctr : 446  | I: 00ff | Q: ffd4
ctr : 447  | I: 0121 | Q: ffbe
ctr : 448  | I: 010a | Q: ffa4
ctr : 449  | I: ff39 | Q: 0083
ctr : 450  | I: ff22 | Q: 0081
ctr : 451  | I: ff55 | Q: 008e
ctr : 452  | I: 00aa | Q: ff5a
ctr : 453  | I: ff5f | Q: 00cc
